"StandID","BA","QMD","BD_FT","TPH","VOL"
78,16.3324125831518,30.5786204338074,3750,222.3948429,32.1537793247812
78,17.5249783691348,30.8305212402344,5150,234.75011195,38.8365551245596
78,19.0791469785733,31.3540333747864,5650,247.105381,43.7778448578703
94,24.9474369216698,29.2739447402954,12000,370.6580715,75.5635051767316
78,20.0357532476655,30.6351794815063,5100,271.8159191,43.0982405392488
78,16.0464328923987,30.3097196960449,6000,222.3948429,41.3567544727811
78,17.0172505726298,34.1922734069824,4650,185.32903575,37.3640791008796
94,32.7554180957776,23.5236973762512,10050,753.67141205,74.8272671648916
78,26.9994410364975,36.3996071815491,10850,259.46065005,73.8078606869593
79,16.1711409150653,29.615731048584,4150,234.75011195,34.7164539429166
94,16.4056607252818,27.7213554000855,7100,271.8159191,46.8785395615811
79,15.945012387911,29.4079384994507,4050,234.75011195,35.6509098810212
79,15.1344645360854,27.2522803497314,3400,259.46065005,32.2104130179997
94,39.9370357901788,32.076489276886,21550,494.210762,119.865211696873
79,4.21933144905184,38.0706364822388,1500,37.06580715,10.9727780610768
79,8.51003259083183,31.2157181739807,1550,111.19742145,15.6308993282952
84,11.7980511576674,23.5083833885193,1550,271.8159191,19.7085252400244
94,36.7264618827383,24.1302470779419,9850,803.09248825,80.8304386460484
79,23.5006946004009,28.8981658363342,5700,358.30280245,50.857056510178
79,14.9443952315746,27.08060962677,2600,259.46065005,28.4017971490582
84,12.7823288692767,22.0877796936035,1200,333.59226435,19.9775352828121
84,9.20651433939934,26.0322990989685,1500,172.9737667,15.2769387456799
77,32.6106102266443,36.6638788414001,15950,308.88172625,99.944310107279
79,19.1080707206918,36.2319526863098,6150,185.32903575,46.071509433218
79,17.1613683633815,31.3450247192383,4750,222.3948429,38.6949708915135
84,15.4883101078852,29.7779425621033,5450,222.3948429,36.8543758619135
84,10.8714343989556,33.4712830162048,2100,123.5526905,19.099713037926
77,22.922848535035,32.047881526947,8700,284.17118815,62.9058747424055
96,32.6966283217708,25.2140447807312,9550,654.82925965,80.2499432905592
84,7.18543501884998,38.4831379508972,2450,61.77634525,17.5422864744183
77,28.2172367186424,34.1048514175415,15300,308.88172625,92.6244052587929
96,34.6200449123702,23.7970164489746,9050,778.38195015,86.2389563484115
84,20.2172438620409,33.1141124725342,6400,234.75011195,49.5827984127626
85,9.4156781477599,37.2310850143433,2250,86.48688335,18.6183266455691
77,21.1009803060854,29.4924100875855,8950,308.88172625,62.7076568161409
96,12.2601409531805,23.4375786018372,2300,284.17118815,25.1028845190828
96,39.9043498948527,35.3005996513367,19850,407.72387865,127.270067085186
85,22.1590666295763,36.6505269432068,10400,210.03957385,66.2897379122086
85,14.6866492045583,38.9036476516724,5700,123.5526905,38.8082382779504
85,2.18929949995468,33.5866393470764,550,24.7105381,4.38911122443073
85,9.27106118863576,30.9096200942993,1750,123.5526905,17.0325832354521
77,34.3965435871766,24.1057936286926,11950,753.67141205,94.6490597913529
96,33.1395570576512,34.3165245437622,19050,358.30280245,107.83055188795
77,22.5500363165476,40.7416410827637,14850,172.9737667,80.3490522536915
77,42.513413653134,46.8033544158936,32700,247.105381,172.392962156995
96,29.4878058823041,34.8642357826233,15200,308.88172625,93.7712375464668
85,26.4207805385239,33.0013528823853,7650,308.88172625,60.5555764738394
76,14.3080151065262,29.4506030464172,4600,210.03957385,35.1836819119689
76,20.6226754200713,21.2643706512451,3600,580.69764535,41.3001207795627
96,36.938750309964,29.7533437728882,12300,531.27656915,89.7785621745653
76,21.9783886963408,30.7200023078918,8350,296.5264572,61.674091914904
76,25.9838593377934,30.9244350814819,17650,345.9475334,95.0454956438822
76,20.2791617578487,32.3250303077698,6950,247.105381,52.4427999202949
76,27.5528716383094,35.9253507614136,14150,271.8159191,88.5184625004545
76,30.6135058754535,34.8336368751526,13050,321.2369953,88.9290567762884
76,39.8468772247623,52.3215350341797,36700,185.32903575,172.846031702743
76,20.4303519762783,27.4212889289856,6050,345.9475334,49.6394321059811
76,32.5832487939584,24.4868047714233,10750,691.8950668,83.4922222273161
86,14.6925358884181,23.6807493209839,2400,333.59226435,26.6886279291997
86,19.6626240134748,32.656744556427,5550,234.75011195,45.2503208815503
86,13.1698551702116,26.0498028755188,2400,247.105381,24.2392206975013
86,18.9118677753369,25.9237083435059,4150,358.30280245,38.5250698118581
86,15.4489283504955,28.2139004325867,3650,247.105381,31.7148682023382
87,14.3396291034523,30.3905044937134,3700,197.6843048,29.2937778172489
99,26.3729532025648,23.0846447181702,6100,630.11872155,56.0956731328856
98,23.8527869527589,32.6914783859253,11000,284.17118815,70.4381559404609
98,62.0493329704522,58.0123843765259,35950,234.75011195,200.327531337001
97,11.7834027552689,36.7318712997437,5800,111.19742145,36.174771543292
80,37.1282521388514,44.8749934387207,24350,234.75011195,130.937098721082
87,6.31253227995708,36.0699664497375,2300,61.77634525,16.4662463032675
99,37.3265883721982,27.1979643821716,12900,642.4739906,93.5588611968976
98,20.0716881160828,26.7068025016785,5650,358.30280245,45.1936871883319
97,21.660166231659,25.2537468147278,4600,432.43441675,44.8397266057165
97,23.8840261355386,36.9782588768005,9400,222.3948429,61.2068639458517
80,19.4158386730382,34.3069853973389,5750,210.03957385,43.2256663489904
80,23.0029834492377,30.1949519920349,12650,321.2369953,70.8487502162947
87,15.8876027706676,31.9888153648376,4400,197.6843048,35.1270482187504
99,14.1615188222662,24.1609404563904,6950,308.88172625,40.4930906511996
98,30.5403225376386,44.3512414932251,16000,197.6843048,97.8063881882821
98,20.2013457872432,25.5061030197144,9800,395.3686096,58.3893377082333
97,18.7537890333666,43.9615947341919,8600,123.5526905,54.240919679981
97,40.7327417023949,64.7889232635498,26700,123.5526905,138.072944066608
80,35.1534404720304,41.5339473724365,23250,259.46065005,126.20818533734
80,10.1481578175918,29.5210590171814,2250,148.2632286,20.8553575276983
88,16.7795991376763,32.8745461845398,4850,197.6843048,38.7940798546458
81,17.8629801616441,40.9081231689453,13900,135.90795955,69.1780562663501
81,8.07167255916099,22.8008345222473,1400,197.6843048,15.5742656350768
80,17.0235716205471,46.8283964920044,8750,98.8421524,50.1349769216426
80,17.5881450616079,38.864076423645,9100,148.2632286,53.7736917109287
89,16.4690148248281,33.6369923782349,4950,185.32903575,38.7657630080366
88,17.3823615864367,34.557132434845,5150,185.32903575,38.5250698118581
88,19.8025487898973,36.8844952201843,6250,185.32903575,45.0804198018949
81,42.7463063496029,50.9042184448242,37450,210.03957385,192.681982752509
81,32.6032855875781,26.7368781852722,11800,580.69764535,84.63905451499
81,31.6739741953888,41.4479836273193,20550,234.75011195,111.752435143328
80,23.7721493672477,40.4126713371277,13000,185.32903575,76.5829116546639
89,15.2233655474968,31.3129699897766,3600,197.6843048,32.8192252200981
89,12.9045340442088,33.2896686172485,3050,148.2632286,26.1081325737105
88,18.7850930204613,31.9197013664246,5250,234.75011195,42.871705766375
88,23.9968399391955,38.1400702285767,8100,210.03957385,58.3185455917102
82,23.7204355238549,24.7206713104248,5650,494.210762,50.0217095352057
81,22.2707559907941,28.1317930412292,7450,358.30280245,55.2603261579133
89,3.11134711658989,32.6920791244507,700,37.06580715,5.72000301506456
89,8.25247572235669,41.2416541671753,3400,61.77634525,22.8233783670398
88,18.7060843001657,30.2977751731873,4950,259.46065005,41.0877444299934
88,15.1998240664617,32.3148831558228,4600,185.32903575,34.9429887157904
82,38.1621752101765,40.4799419403076,25400,296.5264572,135.538586295082
82,30.1030895756088,24.9086079978943,8750,617.7634525,72.236275700147
89,11.7631803060441,41.6142719268799,4050,86.48688335,29.2088272774213
101,35.6155232616716,26.3154431533813,9250,654.82925965,80.6039038731746
95,30.568244440076,37.8401515197754,13600,271.8159191,82.7276673688669
95,19.4554060860331,21.1077910614014,2450,555.98710725,31.0635807303259
82,12.5898801955236,31.591342048645,3050,160.61849765,26.8302121622459
82,22.1114249492225,41.8663980102539,13800,160.61849765,76.2714263419623
102,39.6865478464457,50.5580864715576,27600,197.6843048,141.386015119888
101,39.7567887180647,56.1387778091431,26500,160.61849765,141.017896113968
101,15.6169606849606,38.2499496650696,6200,135.90795955,41.3567544727811
101,29.1405966226569,27.7489070129395,9800,481.85549295,73.7653854170454
95,23.2607259733181,22.3470371246338,2850,593.0529144,40.6205164609411
